Hard,104559,R,188,30.636550308,50,863,104919,7,28.6598220397,35,3,R32,92,6,57,33,26,8,0
Hard,103917,R,190,33.9712525667,71,710,105173,,27.5345653662,44,3,R32,98,1,63,41,26,11,0
Hard,29.3442847365,61,3,R32,102,3,76,41,32,15,104312,R,190,31.8877481177,29,1270,104797,,1
Hard,28.0328542094,37,3,R32,66,0,48,32,27,10,105238,R,180,27.1759069131,36,1135,105064,,1
Hard,105512,R,,25.7741273101,195,260,104620,,30.2587268994,58,3,R32,94,1,62,29,22,23,0
Hard,20.5749486653,265,3,R32,70,4,60,32,28,16,104655,R,180,30.0260095825,41,1065,109739,,1
Hard,28.0438056126,63,3,R32,63,1,49,27,22,12,104871,R,188,28.9117043121,31,1255,105062,,1
Hard,19.1567419576,40,3,R32,57,0,49,30,28,9,104180,L,193,32.6762491444,38,1105,106432,,1
Hard,104925,R,188,28.6598220397,1,16790,111202,,19.665982204,52,5,R128,115,3,68,45,40,13,0
Hard,31.0417522245,78,5,R128,201,10,150,89,63,30,111460,R,,19.227926078,187,274,104471,,1
Hard,106045,R,180,23.4195756331,69,727,105936,,23.8904859685,102,5,R128,54,1,45,29,23,11,0
Hard,104312,R,190,31.9069130732,29,1290,104559,,30.6557152635,44,5,R128,220,5,152,76,57,42,0
Hard,36.887063655,24,5,R128,103,5,76,43,40,20,105643,L,190,25.28678987,53,815,103333,22,1
Hard,26.1327857632,72,5,R128,144,4,116,72,56,25,105539,R,185,25.6947296372,91,620,105438,,1
Hard,25.5715263518,39,5,R128,167,4,116,79,65,22,104468,R,183,31.0581793292,15,2145,105577,,1
Hard,104542,R,188,30.7542778919,10,2725,104571,,30.5872689938,46,5,R128,146,3,110,72,55,22,0
Hard,117357,L,,18.6694045175,310,159,105011,,28.3613963039,76,5,R128,154,3,115,78,53,19,0
Hard,34.0150581793,97,5,R128,129,5,94,49,40,25,104198,R,188,32.6242299795,27,1430,103908,,1
Hard,35.4606433949,55,5,R128,144,3,107,72,57,23,104978,R,196,28.5065023956,151,393,103607,,1
Hard,105572,L,,25.5906913073,103,571,105842,,24.3449691992,243,5,R128,91,4,70,43,36,15,0
Hard,23.9014373717,118,5,R128,72,3,56,36,33,9,103819,R,185,34.4449007529,3,8165,105932,,1
Hard,105238,R,180,27.1950718686,35,1160,105575,,25.5770020534,85,5,R128,128,8,110,60,49,22,0
Hard,105477,R,,25.9630390144,210,244,106075,,23.2032854209,251,5,R128,139,1,100,65,50,19,0
Hard,105777,R,188,24.6762491444,28,1420,103893,,34.0917180014,57,5,R128,145,1,109,73,56,17,0
Hard,28.6789869952,36,5,R128,186,4,119,88,69,18,106233,R,,22.3737166324,20,1645,104919,,1
Hard,104597,R,183,30.4093086927,73,694,103898,,34.0780287474,696,5,R128,173,5,134,73,64,37,0
Hard,21.0266940452,88,5,R128,192,10,170,124,81,24,106000,R,172,23.6632443532,81,661,106378,,1
Hard,105676,R,163,25.1143052704,16,1835,104660,,30.0314852841,60,5,R128,156,5,115,74,54,18,0
Hard,105227,R,198,27.3045859001,13,2405,105217,,27.3292265572,98,5,R128,173,1,117,58,49,39,0
Hard,105583,R,180,25.5523613963,77,678,105023,,28.2819986311,58,5,R128,136,6,118,73,58,26,0
Hard,26.5215605749,43,5,R128,196,2,137,99,66,18,105138,R,,27.7618069815,21,1640,105373,,1
Hard,104655,R,180,30.045174538,41,1065,106415,,20.3093771389,117,5,R128,121,5,96,56,45,20,0
Hard,28.7857631759,65,5,R128,131,2,124,76,48,33,105806,R,,24.5201916496,138,432,104898,,1
Hard,104607,R,196,30.3353867214,6,4560,106026,,23.5400410678,96,5,R128,105,1,77,39,35,21,0
Hard,29.6262833676,5,5,R128,281,10,192,118,85,33,104269,L,188,32.1752224504,45,900,104745,5,1
Hard,105723,R,185,24.9034907598,74,693,105992,,23.6988364134,134,5,R128,117,3,88,48,38,24,0
